Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列),欢迎词字数,sentiment,positive_prob,医生临床职称,医生教学科研职称
74,主任医师 ,普外科,上海,1,230,"10,681",0,5,7,4,0,无,2145,0,0,0.0315851,主任医师,无
75,主任医师 教授 ,口腔颌面外科,哈尔滨,1,215,"13,295",0,3,5,0,2,无,2162,0,0,0.0315851,主任医师,教授
76,主治医师 ,肾内科,九江,1,735,"160,252",25,80,13,1,1,国家重点专科、重点学科、卫生部国家临床重点专科、江西省中医肾病临床研究基地欢迎您前来就诊！,2231,45,2,0.992508,主治医师,无
77,住院医师 助教 ,儿科,南京,1,240,"8,750",0,8,5,2,0,无,2245,0,0,0.0315851,住院医师,助教
78,主治医师 ,普通外科,太原,0,215,"7,161",0,2,2,1,0,大医治于不病大医治于不病，尊重生命，创造奇迹,2318,22,1,0.527428,主治医师,无
79,主治医师 ,骨科,长沙,0,10,"1,783",0,2,1,0,0,无,2386,0,0,0.0315851,主治医师,无
80,副主任医师 ,头颈科,广州,1,430,"81,153",0,50,5,0,0,无,2444,0,0,0.0315851,副主任医师,无
81,主治医师 助教 ,眼科,宁波,1,65,"6,483",14,12,2,0,0,无,2512,0,0,0.0315851,主治医师,助教
82,主任医师 副教授 ,口腔科,银川,1,0,724,0,0,1,0,0,无,2532,0,0,0.0315851,主任医师,副教授
83,主治医师 讲师 ,生殖中心,武汉,1,5,"1,033",0,1,4,1,0,无,2545,0,0,0.0315851,主治医师,讲师
84,副主任医师 ,推拿科,保定,1,0,"13,978",0,1,3,0,0,无,2547,0,0,0.0315851,副主任医师,无
85,副主任医师 ,儿童保健中心,淄博,1,260,"13,454",0,4,0,0,0,无,2552,0,0,0.0315851,副主任医师,无
86,主任医师 教授 ,中医科,石河子,1,210,"80,578",0,31,2,0,1,技术+时间=健康中医药学是我国人民在长期劳动与疾病斗争的实践中形成的独特而系统的科学理论和诊疗方法，为人类防病治病和医学科学的发展发挥了十分重要的作用.,2602,76,2,0.968206,主任医师,教授
87,主任医师 教授 ,普通外科,长春,1,0,"10,185",0,2,6,3,1,无,2663,0,0,0.0315851,主任医师,教授
88,主治医师 ,妇产科,遂宁,1,1245,"5,445",1,138,1,0,0,欢迎咨询我尽量在第一时间内回复并尽量解决你的问题，祝你健康！,2664,30,2,0.853145,主治医师,无
89,副主任医师 ,脑病科,长沙,0,0,"2,989",0,0,1,1,0,无,2764,0,0,0.0315851,副主任医师,无
90,副主任医师 ,儿童保健科,郑州,1,200,"14,364",0,0,2,0,0,无,2782,0,0,0.0315851,副主任医师,无
91,主治医师 ,急诊危重症中心,北京,0,0,149,0,0,0,0,0,无,2790,0,0,0.0315851,主治医师,无
92,主治医师 ,消化内科,包头,1,945,"122,690",4,92,2,0,4,消化病患者的知心朋友如果你有胃肠疾病，肝胆疾病，胰腺疾病或相关的疑问，梁大夫愿为您提供专业的帮助。,2814,49,2,0.887394,主治医师,无
93,主治医师 讲师 ,眼科,嘉峪关,1,0,506,0,0,1,0,0,无,2829,0,0,0.0315851,主治医师,讲师
94,副主任医师 副教授 ,泌尿外科,成都,1,520,"30,320",0,49,7,2,0,行医是一种使命心路清晰，心地善良，心灵平静；给每位膀胱癌、前列腺癌等泌尿系肿瘤患者全面规范正确的治疗。,2835,51,2,0.998338,副主任医师,副教授
95,副主任医师 ,脊柱外科,郑州,1,0,879,0,0,3,2,0,郑州市骨科医院欢迎你!郑州市骨科医院竭诚为广大患者提供优质咨询、诊疗、宣教服务活动！祝您早日康复！,2854,49,2,0.994349,副主任医师,无
96,副主任医师 副教授 ,肾病内科,恩施,1,0,"9,330",0,1,3,0,0,无,2865,0,0,0.0315851,副主任医师,副教授
97,主治医师 ,普外科,娄底,0,0,"3,212",0,0,0,0,0,无,2869,0,0,0.0315851,主治医师,无
98,主治医师 ,放射科,北京,1,0,"9,327",0,0,0,0,0,无,2931,0,0,0.0315851,主治医师,无
99,副主任医师 副教授 ,普外科,南昌,1,300,"11,816",0,6,0,0,0,我是一名普外科大夫，已工作16年，有丰富的理论知识和临床经验。普外科的内容包过：甲状腺疾病、胃肠疾病、肝胆疾病、乳腺疾病、肛肠疾病、下肢静脉曲张、疝等等。如果访客有这方面的质询或其它有关医学问题，欢迎发布信息。,2939,105,2,0.983752,副主任医师,副教授
100,副主任医师 讲师 ,病理科,苏州,1,0,767,0,0,0,0,0,无,2944,0,0,0.0315851,副主任医师,讲师
101,主治医师 ,妇产中心,北京,1,3365,"295,603",5,366,1,0,1,肝病患者欢迎来解放军第302医院妇产中心解决您的生殖内...这是我回国后第一次试图通过网络来联络患者，我已经多年没有应用网络来进行交流的习惯了，我甚至没有QQ号，但我并不是一个老调的医生，时间被大量的临床工作占据，由于在肝病医院我既往擅长的专业很难被患者所了解，我希望通过网络的平台，让我的专长得以发...挥，也希望能为更多的患者解决其关乎切身实践的问题展开>>,2967,181,2,0.868109,主治医师,无
102,副主任医师 副教授 ,整形外科,石家庄,0,4025,"159,524",0,307,4,2,7,无,2981,0,0,0.0315851,副主任医师,副教授
103,副主任医师 ,司法鉴定所,广州,1,240,"14,828",0,4,0,0,0,用我热心换您静心、省心祝福各位仁人志士都身心健康、快乐！,3008,28,2,0.999721,副主任医师,无
104,副主任医师 ,肾内科,泰州,0,245,"16,363",0,3,1,0,1,无,3030,0,0,0.0315851,副主任医师,无
105,副主任医师 副教授 ,肛肠科,宜昌,1,200,"8,252",0,0,10,0,0,无,3046,0,0,0.0315851,副主任医师,副教授
106,主治医师 ,超声科,淄博,1,200,"31,310",3,3,2,0,1,彩超诊断检查咨询有关超声检查及诊断报告的咨询交流，与您共建互助平台。,3060,34,2,0.921637,主治医师,无
107,住院医师 ,风湿免疫,广州,0,0,"21,430",0,3,2,0,0,无,3070,0,0,0.0315851,住院医师,无
108,主任医师 副教授 ,泌尿外科,南京,1,785,"103,148",7,90,16,3,4,欢迎交流，为您服务精诚工作，解决“尿路”问题,3099,22,2,0.86122,主任医师,副教授
109,主治医师 讲师 ,皮肤科,重庆,1,10,"11,791",0,4,1,0,0,无,3188,0,0,0.0315851,主治医师,讲师
110,副主任医师 ,口腔修复科,北京,1,0,"119,254",9,38,14,3,0,无,3202,0,0,0.0315851,副主任医师,无
111,主治医师 ,康复治疗中心,孝感,0,0,"14,925",0,0,2,0,0,无,3232,0,0,0.0315851,主治医师,无
112,主任医师 教授 ,眼科,成都,1,2730,"154,457",0,285,9,0,5,无,3299,0,0,0.0315851,主任医师,教授
113,主任医师 副教授 ,烧伤科,齐齐哈尔,1,0,"23,355",0,3,4,0,1,无,3353,0,0,0.0315851,主任医师,副教授
114,主任医师 ,消化内科,新乡,1,0,"7,721",0,1,1,0,0,无,3395,0,0,0.0315851,主任医师,无
115,主治医师 ,急诊危重症中心,北京,0,0,"1,115",0,0,0,0,0,无,3407,0,0,0.0315851,主治医师,无
116,副主任医师 ,内科,凉山,1,185,"6,581",0,0,0,0,0,无,3418,0,0,0.0315851,副主任医师,无
117,副主任医师 ,康复科,上海,1,0,469,0,0,0,0,0,无,3449,0,0,0.0315851,副主任医师,无
118,主治医师 ,皮肤科,北京,0,220,"17,786",0,53,12,0,0,无,3470,0,0,0.0315851,主治医师,无
119,主任医师 教授 ,介入科,珠海,1,0,"1,166",0,0,0,0,0,无,3472,0,0,0.0315851,主任医师,教授
120,住院医师 ,妇产科,安阳,0,1600,"23,632",0,226,0,0,1,欢迎预约多一份耐心，多一份静心,3484,15,2,0.999566,住院医师,无
121,副主任医师 ,眼科,武汉,1,5,"1,847",0,1,0,0,0,无,3484,0,0,0.0315851,副主任医师,无
122,副主任医师 副教授 ,皮肤科,广州,1,0,327,0,0,6,0,0,无,3490,0,0,0.0315851,副主任医师,副教授
123,副主任医师 ,肾内科,北京,1,220,"11,612",0,4,0,0,1,无,3502,0,0,0.0315851,副主任医师,无
124,副主任医师 副教授 ,心胸外科,新乡,0,1346,"99,111",29,97,1,0,2,新乡市中心医院（省三院）2014年先天性心脏病免费救助...根据河南省农村合作医疗的最新政策，凡是14岁以下的先天性心脏病患儿，包括房间隔缺损、室间隔缺损、动脉导管未闭、肺动脉瓣狭窄，均可以在新乡市中心医院心胸外科得到免费救助，住院一切费用全免，这是河南省先天性心脏病患儿的福音！,3514,140,2,0.967843,副主任医师,副教授
125,副主任医师 ,儿科,上海,1,0,"24,283",1,1,3,0,0,无,3548,0,0,0.0315851,副主任医师,无
126,副主任医师 副教授 ,血管外科,上海,1,3880,"278,608",5,536,13,5,8,愿天下好人皆健康快乐。欢迎关心本网站、尊重医学的人士提出有关血管疾病诊治与预防的咨询。（声明：恕网上不能予以具体诊疗答复，并谢绝与医疗无关的咨询）,3567,73,2,0.980595,副主任医师,副教授
127,副主任医师 副教授 ,骨科,太原,1,205,"9,449",0,1,1,0,1,无,3577,0,0,0.0315851,副主任医师,副教授
128,主治医师 讲师 ,心理咨询科,沈阳,1,1128,"89,429",9,90,0,0,0,祝大家身心健康让你的感觉，妙不可言,3602,17,2,0.980534,主治医师,讲师
129,住院医师 ,肝胆外科、肝胆内镜外科,济南,1,0,"2,212",0,0,0,0,0,无,3617,0,0,0.0315851,住院医师,无
130,主任医师 教授 ,介入放射诊断治疗中心,北京,1,0,"26,382",0,0,6,0,0,无,3633,0,0,0.0315851,主任医师,教授
131,副主任医师 ,普外科,郑州,1,0,677,0,0,1,0,0,无,3670,0,0,0.0315851,副主任医师,无
132,副主任医师 ,呼吸内科,北京,1,0,"17,124",0,0,2,0,0,无,3797,0,0,0.0315851,副主任医师,无
133,主任医师 ,妇科,大连,1,0,"8,577",0,0,0,0,0,无,3830,0,0,0.0315851,主任医师,无
134,副主任医师 副教授 ,器官移植科,广州,1,0,"17,293",0,1,1,1,0,无,3857,0,0,0.0315851,副主任医师,副教授
135,副主任医师 ,ICU,鄂尔多斯,0,200,"8,289",0,0,0,0,0,无,3863,0,0,0.0315851,副主任医师,无
136,主任医师 ,放射科,包头,1,175,"21,875",2,6,1,0,1,精医厚德用我的技能帮您解除忧患。,3906,16,2,0.95662,主任医师,无
137,副主任医师 ,脊柱外科,郑州,1,0,"9,444",0,0,0,0,1,无,3930,0,0,0.0315851,副主任医师,无
138,主任医师 教授 ,消化内科,南宁,1,210,"24,977",2,1,1,0,0,无,3946,0,0,0.0315851,主任医师,教授
139,主治医师 ,肛肠外科,保定,0,30,"4,985",0,4,0,0,0,无,3965,0,0,0.0315851,主治医师,无
140,副主任医师 ,介入科,秦皇岛,0,0,"2,198",0,0,1,0,0,无,4080,0,0,0.0315851,副主任医师,无
141,主治医师 ,眼科,兰州,0,290,"26,914",3,17,1,0,0,无,4149,0,0,0.0315851,主治医师,无
142,主治医师 ,心血管内科,郑州,0,1810,"83,366",1,74,0,0,8,大医精诚凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。若有疾厄来求救者，不得问其贵贱贫富，长幼妍蚩，怨亲善友，华夷愚智，普同一等，皆如至亲之想。亦不得瞻前顾后，自虑吉凶，护惜身命，见彼苦恼，若己有之，深心凄怆，勿避险巇，昼...夜寒暑，饥渴疲劳，一心赴救，无作功夫形迹之心。如此可为苍生大医。反此则是含灵巨贼。展开>>收,4179,173,2,0.944619,主治医师,无
143,副主任医师 ,呼吸内科,深圳,1,0,"4,527",0,0,2,0,0,无,4200,0,0,0.0315851,副主任医师,无
144,主任医师 教授 ,骨科,盐城,1,250,"14,823",0,5,0,0,0,无,4239,0,0,0.0315851,主任医师,教授
145,主任医师 ,ICU科,淮北,1,200,"9,929",0,0,1,0,0,无,4288,0,0,0.0315851,主任医师,无
146,副主任医师 ,放射科,佛山,1,410,"37,253",4,10,0,0,1,全心全意为人民服务一切以病人为中心，全心全意为人民服务,4341,27,2,0.994943,副主任医师,无
147,副主任医师 ,肝胆胰外科,昆明,1,200,"7,461",0,0,2,0,0,无,4378,0,0,0.0315851,副主任医师,无
148,主任医师 教授 ,肛肠科,郑州,1,759,"95,142",9,49,7,1,2,欢迎您！浏览我的网站！席作武教授个人网站开通了！欢迎交流，欢迎就诊！欢迎咨询！,4387,39,2,0.999559,主任医师,教授
149,主治医师 ,耳鼻喉科,赣州,1,210,"10,121",0,1,1,0,0,尽我的最大努力，为每个耳鼻喉科患者解除病痛我是一个医生，我会尽我最大的努力去帮助每个耳鼻喉科患者。大家的关注是我的荣幸，我也会尽最大的努力不让大家失望，也会让更多的人关注我。,4419,87,2,0.999671,主治医师,无
150,住院医师 ,内镜中心,杭州,0,0,"1,418",0,0,0,0,0,无,4496,0,0,0.0315851,住院医师,无
151,主任医师 教授 ,小儿外科,西安,1,0,"12,687",1,1,13,3,1,无,4646,0,0,0.0315851,主任医师,教授
152,主治医师 ,胸心外科,大庆,1,0,"1,815",0,0,0,0,0,无,4648,0,0,0.0315851,主治医师,无
153,副主任医师 ,小儿心脏外科,北京,1,3180,"125,151",3,213,10,7,56,治病救人，医者仁心阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。希望在网上平台为更多患儿提供帮助！展开>>收起<<,4665,158,2,0.998554,副主任医师,无
154,副主任医师 ,内科,怀化,1,0,"14,085",1,1,1,0,0,无,4721,0,0,0.0315851,副主任医师,无
155,主任医师 ,神经内科,西安,1,1659,"103,694",3,116,0,0,6,祝您早日康复！希望每位患者都能健康开心地生活！,4742,23,2,0.982338,主任医师,无
156,主治医师 ,风湿免疫科,新乡,0,0,"2,828",0,0,1,0,0,无,4747,0,0,0.0315851,主治医师,无
157,主治医师 ,心外科,福州,0,0,783,0,1,1,0,0,无,4748,0,0,0.0315851,主治医师,无
158,住院医师 ,针灸理疗科,德州,1,200,"4,971",0,0,0,0,0,无,4758,0,0,0.0315851,住院医师,无
159,主治医师 副研究员 ,肿瘤科,长沙,1,235,"18,765",0,7,0,0,0,无,4804,0,0,0.0315851,主治医师,副研究员
160,副主任医师 副教授 ,肾病科,上海,0,14820,"796,910",22,1167,27,15,17,凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。,4913,36,2,0.952616,副主任医师,副教授
161,副主任医师 ,普外科,太原,1,0,258,0,0,0,0,0,无,4918,0,0,0.0315851,副主任医师,无
162,主任医师 副教授 ,神经内科,济南,1,0,"7,608",0,0,4,0,0,无,4928,0,0,0.0315851,主任医师,副教授
163,主治医师 ,内分泌风湿科,西安,0,15,"2,431",0,3,0,0,0,无,4940,0,0,0.0315851,主治医师,无
164,副主任医师 副教授 ,心理咨询科,安康,1,5,"1,404",0,1,0,0,0,无,4969,0,0,0.0315851,副主任医师,副教授
165,住院医师 讲师 ,甲状腺颈部肿瘤科,天津,1,0,"1,161",1,0,0,0,0,无,4976,0,0,0.0315851,住院医师,讲师
166,副主任医师 副教授 ,肝胆腔镜外科,武汉,1,0,"15,687",0,0,8,0,0,无,5000,0,0,0.0315851,副主任医师,副教授
167,副主任医师 ,普外科,哈尔滨,1,0,"14,759",0,0,0,0,0,无,5029,0,0,0.0315851,副主任医师,无
168,主任药师 教授 ,药剂科,中山,1,275,"12,948",1,12,0,1,0,欢迎光临邱雄泉教授个人网站合理用药的原则是“安全、有效、经济”；热诚为大家在用药过程中的碰到的问题，提供力所能及的帮助。,5043,60,2,0.966544,主任药师,教授
169,主治医师 ,神经外科,北京,0,10,"27,733",0,10,4,0,0,无,5045,0,0,0.0315851,主治医师,无
