,text,Positive,Negative,Neutral,Compound,Sentiment,sentiment
35,r muf all the when,0.0,0.0,1.0,0.0,Neutral,0
36,r mint press news the moroccan palestine isr,0.0,0.0,1.0,0.0,Neutral,0
37,r credi m i yo us thi imag pancak,0.0,0.0,1.0,0.0,Neutral,0
38,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
39,chime thank chime,0.556,0.0,0.444,0.3612,Positive,1
40,r diecast hype hw elite series toyota chaser jz releasin december p ga pas photo credit mattel crea,0.148,0.0,0.852,0.3818,Positive,1
41,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
42,r smoking liberals fate dhruv tattis e sdm,0.0,0.0,1.0,0.0,Neutral,0
43,chime anyon man man moreee why i chime chime,0.0,0.0,1.0,0.0,Neutral,0
44,r canada,0.0,0.0,1.0,0.0,Neutral,0
45,r captain morgan d showcase wishes robert iger if joel chandler harris,0.151,0.0,0.849,0.1531,Positive,1
46,r chime why i chime dorrell eggles,0.0,0.0,1.0,0.0,Neutral,0
47,r why you,0.0,0.0,1.0,0.0,Neutral,0
48,r nouriel the unavoidable crash nouriel roubini after,0.0,0.31,0.69,-0.4019,Negative,2
49,december friday dezember freitag disyembre biyernes viernes yea o th tige page day o pask i day day t g befor christma pictur credi t th owne pctt zkfd,0.0,0.0,1.0,0.0,Neutral,0
50,r tansu yegen wow credit arif prince gr zw w,0.516,0.0,0.484,0.7506,Positive,1
51,r freak h p d ocg p gq z dm,0.0,0.492,0.508,-0.4404,Negative,2
52,r i lin,0.0,0.0,1.0,0.0,Neutral,0
53,mike usf football ip,0.0,0.0,1.0,0.0,Neutral,0
54,r qinduo xu jingshan temple hangzhou zhejiang credit dou yin hong photo photo ckf m,0.178,0.0,0.822,0.3818,Positive,1
55,r geology time big imperial brazil credit sancler gemstones brazil pem,0.224,0.0,0.776,0.3818,Positive,1
56,r qi gpmy,0.0,0.0,1.0,0.0,Neutral,0
57,r credit the heaven po yb,0.513,0.313,0.174,0.3182,Positive,1
58,r nayana amol appreciation shubham tharwani promo adha aap puri aag laga salute jistarah pal,0.202,0.0,0.798,0.5106,Positive,1
59,had wk ykgs ido,0.0,0.0,1.0,0.0,Neutral,0
60,no,0.0,1.0,0.0,-0.296,Negative,2
61,dentang wallet airtag keychain thin minimalist front pocket wallet credit card cash purse case holder appl wb ag tkfq,0.126,0.0,0.874,0.3818,Positive,1
62,r bohhddhee toast,0.0,0.0,1.0,0.0,Neutral,0
63,r hagit ben yaakov this,0.0,0.0,1.0,0.0,Neutral,0
64,r cha rocher la mairie paris anne hidalgo kiev dommage,0.0,0.0,1.0,0.0,Neutral,0
65,noo q pl fuv,0.0,0.0,1.0,0.0,Neutral,0
66,,0.0,0.0,0.0,0.0,Neutral,0
67,r shannen jpe the chinese if chinese,0.0,0.0,1.0,0.0,Neutral,0
68,chime why i chime on unheard,0.0,0.0,1.0,0.0,Neutral,0
69,chime,0.0,0.0,1.0,0.0,Neutral,0
70,r jetholidays feeling or either for,0.273,0.0,0.727,0.128,Positive,1
71,r fish on great reset to america,0.451,0.0,0.549,0.6249,Positive,1
72,r redbilled blue magpie china,0.0,0.0,1.0,0.0,Neutral,0
73,matt pol prof undergrowth man kanye,0.0,0.0,1.0,0.0,Neutral,0
74,,0.0,0.0,0.0,0.0,Neutral,0
75,wx anomaly nice wx anomaly would,0.359,0.0,0.641,0.4215,Positive,1
76,r how christmas you,0.0,0.0,1.0,0.0,Neutral,0
77,r farrukh baseer p one credit dynamic lady minister ppp punjab s pp org rqsfe,0.342,0.0,0.658,0.6369,Positive,1
78,r from credit valley hosp on covid,0.342,0.0,0.658,0.3818,Positive,1
79,r k leafeon courtesy if r i m,0.556,0.0,0.444,0.3612,Positive,1
80,the ben rob or,0.0,0.545,0.455,-0.5574,Negative,2
81,r djdurtdurdur credit,0.722,0.0,0.278,0.3818,Positive,1
82,r its have enjoy kuerbin river heilongjiang province,0.348,0.0,0.652,0.4939,Positive,1
83,okay sutgodh tm,0.487,0.0,0.513,0.2263,Positive,1
84,r credit td l wphe,0.565,0.0,0.435,0.3818,Positive,1
85,r derbsporn what credit,0.565,0.0,0.435,0.3818,Positive,1
86,bon earwax tee k role models fibbages quiplash he kuf pg,0.0,0.0,1.0,0.0,Neutral,0
87,chime the ill why i chime astroslover,0.0,0.359,0.641,-0.4215,Negative,2
88,credit next tuesdays,0.565,0.0,0.435,0.3818,Positive,1
89,what credit suisse,0.565,0.0,0.435,0.3818,Positive,1
90,nls youth schools blitz huge shows gaa family c,0.247,0.0,0.753,0.3182,Positive,1
91,r v mzrb qn,0.0,0.0,1.0,0.0,Neutral,0
92,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
93,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
94,r credit tom harder d motfi,0.464,0.0,0.536,0.3818,Positive,1
95,when nothin m wh i th artis,0.0,0.0,1.0,0.0,Neutral,0
96,r spacial credit em,0.565,0.0,0.435,0.3818,Positive,1
97,r a someone,0.0,0.0,1.0,0.0,Neutral,0
98,r james melville heres i china,0.0,0.0,1.0,0.0,Neutral,0
99,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
100,project fi bonus credit moto phones e ep hn,0.504,0.0,0.496,0.7269,Positive,1
101,r mex global how m follow mex global like r submit,0.263,0.0,0.737,0.3612,Positive,1
102,chime why i m britt,0.0,0.0,1.0,0.0,Neutral,0
103,r spacial credit em,0.565,0.0,0.435,0.3818,Positive,1
104,r huge video zee kannada osmdv gqykh,0.315,0.0,0.685,0.3182,Positive,1
105,r tansu yegen wow credit arif prince gr zw w,0.516,0.0,0.484,0.7506,Positive,1
106,r credit llp pb p,0.565,0.0,0.435,0.3818,Positive,1
107,chime,0.0,0.0,1.0,0.0,Neutral,0
108,r fl public affairs z blime dash dobrofsky they re that s de santis he,0.0,0.0,1.0,0.0,Neutral,0
109,chime chime michael laney why i chime,0.0,0.0,1.0,0.0,Neutral,0
110,r the road day erics photo har special,0.31,0.0,0.69,0.4019,Positive,1
111,r never,0.0,0.0,1.0,0.0,Neutral,0
112,consistently,0.0,0.0,1.0,0.0,Neutral,0
113,biu dp please buildbuilddd build jakapan asian celebrity year acot acot buildjakapa pic nkmtantodes xc w nc e vg,0.126,0.0,0.874,0.3182,Positive,1
114,r gordon brown the sunak hunt the univers,0.0,0.0,1.0,0.0,Neutral,0
115,r bb ca nt kkp,0.0,0.0,1.0,0.0,Neutral,0
116,r humpback this,0.0,0.0,1.0,0.0,Neutral,0
117,r big ass addict credit nk mk c sbk,0.234,0.315,0.45,-0.2263,Negative,2
118,r also fighting online naf,0.0,0.455,0.545,-0.3612,Negative,2
119,r flay petty anyone together stronger yma o hyd credit we are wales facebook noel mooney,0.289,0.1,0.611,0.5267,Positive,1
120,starforceh barrington i why hitler,0.0,0.0,1.0,0.0,Neutral,0
121,r letter interest lea sgvv xas credit nas f hji,0.483,0.0,0.517,0.6808,Positive,1
122,r pomeranian er we pomeranian we,0.0,0.0,1.0,0.0,Neutral,0
123,chime why i chime chime skubba leak,0.0,0.324,0.676,-0.34,Negative,2
124,who har vitalik buterin give directly,0.0,0.0,1.0,0.0,Neutral,0
125,r james melville its vandana shiva she we,0.0,0.0,1.0,0.0,Neutral,0
126,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
127,r ginger jim i social credit score cbd,0.342,0.0,0.658,0.3818,Positive,1
128,r pent forestry to its,0.0,0.0,1.0,0.0,Neutral,0
129,chime chime renaneko why i chime,0.0,0.0,1.0,0.0,Neutral,0
130,r credit qxw,0.722,0.0,0.278,0.3818,Positive,1
131,r og,0.0,0.0,1.0,0.0,Neutral,0
132,r eagle nebula reptor wolpa q dt rd j xm tam jd,0.0,0.0,1.0,0.0,Neutral,0
133,chime i ve also tkiia brooks,0.0,0.0,1.0,0.0,Neutral,0
134,r marius crypt ok shid buzzing gm,0.306,0.0,0.694,0.296,Positive,1
135,r fun fact ta pbz agq ojo,0.398,0.0,0.602,0.5106,Positive,1
136,r michael yahoo care,0.615,0.0,0.385,0.4939,Positive,1
137,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
138,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
139,r tansu yegen wow credit arif prince gr zw w,0.516,0.0,0.484,0.7506,Positive,1
140,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
141,child tax credit ccnrt ps,0.394,0.0,0.606,0.3818,Positive,1
142,natural elegant credit elegant autumn bundle jessica dunn hvk r,0.693,0.0,0.307,0.8834,Positive,1
143,r stonekettle o,0.0,0.0,1.0,0.0,Neutral,0
144,r southern india credit prasenjeet yadav t ie nb,0.302,0.0,0.698,0.3818,Positive,1
145,r najam ali pakistans credit m ishaq dar,0.342,0.0,0.658,0.3818,Positive,1
146,r my en,0.0,0.0,1.0,0.0,Neutral,0
147,samsung ole credit robert triggs android authority samsung it ole pd z yyc f bz uxy gi,0.306,0.0,0.694,0.5106,Positive,1
148,r source qqdky credit tim fc l ti,0.342,0.0,0.658,0.3818,Positive,1
149,r speciation lab,0.0,0.0,1.0,0.0,Neutral,0
150,the mr wd s swg sk,0.481,0.0,0.519,0.5719,Positive,1
151,this so please original my icow ipd,0.508,0.0,0.492,0.6335,Positive,1
152,chime this amyrah decade of chime thanks happy holidays,0.605,0.0,0.395,0.8481,Positive,1
153,r meghans mole currently credit tr biw,0.342,0.0,0.658,0.3818,Positive,1
154,chime chime i ve credit builder best definitely c sz o yz,0.613,0.0,0.387,0.8591,Positive,1
155,r first friday thanks,0.592,0.0,0.408,0.4404,Positive,1
156,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
157,they ll governor,0.0,0.0,1.0,0.0,Neutral,0
158,r emerson drewes this nevada today nsh,0.0,0.0,1.0,0.0,Neutral,0
159,hey twitter don z,0.0,0.0,1.0,0.0,Neutral,0
160,r au crciun tot baia mare porc de craciun,0.0,0.0,1.0,0.0,Neutral,0
161,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
162,r tv watchtower jung kook,0.0,0.0,1.0,0.0,Neutral,0
163,chime spot me credit builder rosalie bear,0.302,0.0,0.698,0.3818,Positive,1
164,r moon jin birthday layouts feel lets ji ns,0.0,0.0,1.0,0.0,Neutral,0
165,crypto revolt f et tout pass sanitaire au pro vax,0.0,0.158,0.842,-0.128,Negative,2
166,december friday dezember freitag disyembre biyernes viernes yea o th tige page day o pask i day day t g befor christma pictur credi t th owne pctt xgzq zq,0.0,0.0,1.0,0.0,Neutral,0
167,applying goa submit dec goa scholarship program apply zcc z ij wa zf qq,0.0,0.211,0.789,-0.4939,Negative,2
168,r southern india credit prasenjeet yadav t ie nb,0.302,0.0,0.698,0.3818,Positive,1
169,hey cousin i m on fridays,0.0,0.0,1.0,0.0,Neutral,0
170,chime why i chime decadeof chime joiyeuse,0.0,0.0,1.0,0.0,Neutral,0
171,r wall street silv wow sam credit grabien x tu v,0.516,0.0,0.484,0.7506,Positive,1
172,register seeds resistance fre cjk d hs seeds of resistance about productions young theaterworks photo credit theresa chavez,0.14,0.0,0.86,0.3818,Positive,1
173,love d for credit or husky twitter,0.63,0.0,0.37,0.7783,Positive,1
174,r pomeranian er we pomeranian we,0.0,0.0,1.0,0.0,Neutral,0
175,r the only even loved shiv thakaress,0.438,0.0,0.562,0.5994,Positive,1
176,not while dave ramsey he real kiyosaki,0.0,0.0,1.0,0.0,Neutral,0
177,ahyoka trump the obama trump,0.0,0.0,1.0,0.0,Neutral,0
178,show i d,0.0,0.0,1.0,0.0,Neutral,0
179,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
180,r mex global how m follow mex global like r submit,0.263,0.0,0.737,0.3612,Positive,1
181,r c while b hydro my food bank share,0.306,0.0,0.694,0.296,Positive,1
182,showcase wishes robert iger if joel chandler harris uncle remus,0.151,0.0,0.849,0.1531,Positive,1
183,r,0.0,0.0,0.0,0.0,Neutral,0
184,r geology time big imperial brazil credit sancler gemstones brazil pem,0.224,0.0,0.776,0.3818,Positive,1
185,r southern india credit prasenjeet yadav t ie nb,0.302,0.0,0.698,0.3818,Positive,1
186,r the,0.0,0.0,1.0,0.0,Neutral,0
187,ahmad mauroof ekan,0.0,0.0,1.0,0.0,Neutral,0
188,yes president state gov trump gov holidays,0.515,0.0,0.485,0.6486,Positive,1
189,got ta frankie borrelli great fore play pod,0.52,0.0,0.48,0.7579,Positive,1
190,n r nd jentezen when just otherwise,0.0,0.0,1.0,0.0,Neutral,0
191,my getting diners c,0.0,0.0,1.0,0.0,Neutral,0
192,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
193,r diecast hype hw elite series toyota chaser jz releasin december p ga pas photo credit mattel crea,0.148,0.0,0.852,0.3818,Positive,1
194,potu the covid covid,0.0,0.0,1.0,0.0,Neutral,0
195,r nen les avion vert,0.0,0.0,1.0,0.0,Neutral,0
196,r farrukh baseer p one credit dynamic lady minister ppp punjab s pp org rqsfe,0.342,0.0,0.658,0.6369,Positive,1
197,r credit gh,0.722,0.0,0.278,0.3818,Positive,1
198,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
199,potu its,0.0,0.0,1.0,0.0,Neutral,0
200,tn southernlib hell ohwait,0.0,0.605,0.395,-0.6808,Negative,2
201,tom williams pol ca nt but,0.0,0.0,1.0,0.0,Neutral,0
202,first friday thanks zr vxbnk fh,0.367,0.0,0.633,0.4404,Positive,1
203,r never,0.0,0.0,1.0,0.0,Neutral,0
204,r,0.0,0.0,0.0,0.0,Neutral,0
205,r damiadenug let,0.0,0.0,1.0,0.0,Neutral,0
206,gop chairwoman my when i ve i m for i m,0.0,0.0,1.0,0.0,Neutral,0
207,alexand comme car,0.0,0.0,1.0,0.0,Neutral,0
208,aice ac rdcong goma radio bor f lmission,0.0,0.0,1.0,0.0,Neutral,0
209,r james melville its vandana shiva she we,0.0,0.0,1.0,0.0,Neutral,0
210,r je c zoek cbd,0.0,0.0,1.0,0.0,Neutral,0
211,r never,0.0,0.0,1.0,0.0,Neutral,0
212,nf he f mt g jjqtk,0.0,0.0,1.0,0.0,Neutral,0
213,r southern india credit prasenjeet yadav t ie nb,0.302,0.0,0.698,0.3818,Positive,1
214,r anthony fatseas on wt finance rafi farber end game investor we,0.0,0.0,1.0,0.0,Neutral,0
215,r gregnus elon musk kanye west,0.0,0.0,1.0,0.0,Neutral,0
216,this bs n re p kq eq fc,0.0,0.0,1.0,0.0,Neutral,0
217,r and art,0.0,0.0,1.0,0.0,Neutral,0
218,potu the take thi p zk ao,0.0,0.0,1.0,0.0,Neutral,0
219,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
220,r moldy peaches cinema vi,0.0,0.0,1.0,0.0,Neutral,0
221,r elinor dear huge te dx getaway if,0.38,0.31,0.31,-0.0258,Neutral,0
222,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
223,r how christmas you,0.0,0.0,1.0,0.0,Neutral,0
224,not yes,0.0,0.693,0.307,-0.3089,Negative,2
225,batter adhdjgk hi can with,0.0,0.0,1.0,0.0,Neutral,0
226,r monier barbara frisky day credit,0.605,0.0,0.395,0.5574,Positive,1
227,chime chime why i chime lil tre,0.0,0.0,1.0,0.0,Neutral,0
228,my blueprintamp social media writing is enriched with me kharn declaresamp does brawlers de mexico us u u naval pride of mex,0.112,0.0,0.888,0.34,Positive,1
229,r nen les avion vert,0.0,0.0,1.0,0.0,Neutral,0
230,,0.0,0.0,0.0,0.0,Neutral,0
231,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
232,r budryk zack everyone the simpsons king hill bobby,0.0,0.0,1.0,0.0,Neutral,0
233,tigrovi just,0.0,0.0,1.0,0.0,Neutral,0
234,ckl electric tiffy wii klonoa klonoa phantasy reverie series klonoa,0.0,0.0,1.0,0.0,Neutral,0
235,r tansu yegen wow credit arif prince gr zw w,0.516,0.0,0.484,0.7506,Positive,1
236,good morning credit cozy mornings bundle jessica dunn gnv photo pixabay at is pe,0.314,0.0,0.686,0.6705,Positive,1
237,r college board with a precalculus expl,0.0,0.0,1.0,0.0,Neutral,0
238,new reminde d no if please d,0.307,0.293,0.4,0.0258,Neutral,0
239,r still life anderson paak n repos withou credi d no cro indigo indigo by r,0.0,0.167,0.833,-0.296,Negative,2
240,rex chapman san diego high at african american now jimmy cannon joe louis the,0.0,0.0,1.0,0.0,Neutral,0
241,r southern india credit prasenjeet yadav t ie nb,0.302,0.0,0.698,0.3818,Positive,1
242,they netflix,0.0,0.0,1.0,0.0,Neutral,0
243,starbucks uuwj qn g,0.0,0.0,1.0,0.0,Neutral,0
244,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
245,yameeowo this love,0.677,0.0,0.323,0.6369,Positive,1
246,writer author film t director josh becker tgi sit eu a utprgg you tube,0.0,0.0,1.0,0.0,Neutral,0
247,r tech amazing ejecting credit tech insider tlrt wf pi,0.478,0.0,0.522,0.7506,Positive,1
248,r agrawalla vicky cb sushants cb susha,0.0,0.0,1.0,0.0,Neutral,0
249,imagine chase card chase chase they quick this no,0.0,0.238,0.762,-0.3612,Negative,2
